id,CATEGORY,SENTIMENT,SCORE,REVLEN
140228,0.41,0.24,0.33,0.02
140229,0.41,0.24,0.34,0.01
140230,0.41,0.24,0.35,0.0
140231,0.41,0.25,0.0,0.34
140232,0.41,0.25,0.01,0.33
140233,0.41,0.25,0.02,0.32
140234,0.41,0.25,0.03,0.31
140235,0.41,0.25,0.04,0.3
140236,0.41,0.25,0.05,0.29
140237,0.41,0.25,0.06,0.28
140238,0.41,0.25,0.07,0.27
140239,0.41,0.25,0.08,0.26
140240,0.41,0.25,0.09,0.25
140241,0.41,0.25,0.1,0.24
140242,0.41,0.25,0.11,0.23
140243,0.41,0.25,0.12,0.22
140244,0.41,0.25,0.13,0.21
140245,0.41,0.25,0.14,0.2
140246,0.41,0.25,0.15,0.19
140247,0.41,0.25,0.16,0.18
140248,0.41,0.25,0.17,0.17
140249,0.41,0.25,0.18,0.16
140250,0.41,0.25,0.19,0.15
140251,0.41,0.25,0.2,0.14
140252,0.41,0.25,0.21,0.13
140253,0.41,0.25,0.22,0.12
140254,0.41,0.25,0.23,0.11
140255,0.41,0.25,0.24,0.1
140256,0.41,0.25,0.25,0.09
140257,0.41,0.25,0.26,0.08
140258,0.41,0.25,0.27,0.07
140259,0.41,0.25,0.28,0.06
140260,0.41,0.25,0.29,0.05
140261,0.41,0.25,0.3,0.04
140262,0.41,0.25,0.31,0.03
140263,0.41,0.25,0.32,0.02
140264,0.41,0.25,0.33,0.01
140265,0.41,0.25,0.34,0.0
140266,0.41,0.26,0.0,0.33
140267,0.41,0.26,0.01,0.32
140268,0.41,0.26,0.02,0.31
140269,0.41,0.26,0.03,0.3
140270,0.41,0.26,0.04,0.29
140271,0.41,0.26,0.05,0.28
140272,0.41,0.26,0.06,0.27
140273,0.41,0.26,0.07,0.26
140274,0.41,0.26,0.08,0.25
140275,0.41,0.26,0.09,0.24
140276,0.41,0.26,0.1,0.23
140277,0.41,0.26,0.11,0.22
140278,0.41,0.26,0.12,0.21
140279,0.41,0.26,0.13,0.2
140280,0.41,0.26,0.14,0.19
140281,0.41,0.26,0.15,0.18
140282,0.41,0.26,0.16,0.17
140283,0.41,0.26,0.17,0.16
140284,0.41,0.26,0.18,0.15
140285,0.41,0.26,0.19,0.14
140286,0.41,0.26,0.2,0.13
140287,0.41,0.26,0.21,0.12
140288,0.41,0.26,0.22,0.11
140289,0.41,0.26,0.23,0.1
140290,0.41,0.26,0.24,0.09
140291,0.41,0.26,0.25,0.08
140292,0.41,0.26,0.26,0.07
140293,0.41,0.26,0.27,0.06
