rank0,rank1,rank2,rank3
0.18324607329842932,0.75,0.75,0.0
0.12041884816753926,0.6000000000000001,0.75,0.0
0.09947643979057592,0.6000000000000001,0.75,0.0
0.21989528795811517,0.6000000000000001,0.75,0.0
0.14659685863874344,0.6000000000000001,0.75,0.0
0.06282722513089006,0.75,0.75,0.0
0.06806282722513088,0.6000000000000001,0.75,0.0
0.14659685863874344,0.6000000000000001,0.75,0.0
0.06282722513089006,0.6000000000000001,0.75,0.0
0.14659685863874344,0.6000000000000001,0.75,0.0
0.06806282722513088,0.6000000000000001,0.75,0.0
0.13612565445026176,0.6000000000000001,0.75,0.0
0.07329842931937172,0.6000000000000001,0.75,0.0
0.041884816753926704,0.6000000000000001,0.75,0.0
0.041884816753926704,0.6000000000000001,0.75,0.0
0.08900523560209425,0.6000000000000001,0.75,0.0
0.010471204188481676,0.6000000000000001,0.75,0.0
0.03141361256544503,0.6000000000000001,0.75,0.0
0.08376963350785341,0.6000000000000001,0.75,0.0
0.020942408376963352,0.6000000000000001,0.75,0.0
0.04712041884816753,0.6000000000000001,0.75,0.0
0.06806282722513088,0.6000000000000001,0.75,0.0
0.010471204188481676,0.6000000000000001,0.75,0.0
0.020942408376963352,0.6000000000000001,0.75,0.0
0.06806282722513088,0.75,0.75,0.0
