RankingFuncionPesos,ndcg
rank90173,0.9222571628001567
rank90174,0.9225584674502454
rank90175,0.9279494236609104
rank90176,0.9286804348848486
rank90177,0.9297801737727677
rank90178,0.9302481861928475
rank90179,0.9390925337906905
rank90180,0.9397118835454531
rank90181,0.9399405549357109
rank90182,0.9403663894477008
rank90183,0.9445335023679748
rank90184,0.9478044521945792
rank90185,0.9502437344950692
rank90186,0.949790435880966
rank90187,0.952245879201136
rank90188,0.9534618713940037
rank90189,0.9526460625883724
rank90190,0.9522475495957212
rank90191,0.9533331988031675
rank90192,0.95347526726958
rank90193,0.954980571484794
rank90194,0.9553057439060618
rank90195,0.955083939347684
rank90196,0.9549129171438504
rank90197,0.9549787766840069
rank90198,0.9552766424153718
rank90199,0.955075077340795
rank90200,0.9545404129805724
rank90201,0.9540939305865359
rank90202,0.9533399481972166
rank90203,0.9533576053250253
rank90204,0.9442893901651253
rank90205,0.8782750973652838
rank90206,0.8795124925137164
rank90207,0.8813477227868161
rank90208,0.880955249261182
rank90209,0.8837864350542359
rank90210,0.8852051361158537
rank90211,0.8908355179129865
rank90212,0.8920562211695353
rank90213,0.8936523424677628
rank90214,0.8961862559502656
rank90215,0.8990373718981753
rank90216,0.9022762728597138
rank90217,0.9030929106527077
rank90218,0.9109797334273376
rank90219,0.9124316891638872
rank90220,0.9138940753184905
rank90221,0.9148028999224493
rank90222,0.9189169340706075
rank90223,0.9197211670726949
rank90224,0.9210555972174778
rank90225,0.9234870242409657
rank90226,0.9276724736162748
rank90227,0.9284593376832513
rank90228,0.9294273826449966
rank90229,0.9305617878248451
rank90230,0.9397850137904861
rank90231,0.9394103589692886
rank90232,0.940143920473291
rank90233,0.940228678544439
rank90234,0.9478785685910044
rank90235,0.9483460345816216
rank90236,0.9500594931048071
rank90237,0.9503853696573213
rank90238,0.9512075282663583
rank90239,0.9535070993854494
rank90240,0.9531406320551706
rank90241,0.952556427684338
rank90242,0.9530398064737778
rank90243,0.9537889631045543
rank90244,0.9544351580476585
rank90245,0.9553691889274072
rank90246,0.9552302419178079
rank90247,0.9550024689932195
rank90248,0.9550983897108789
rank90249,0.9551565483753074
rank90250,0.9551372412171626
rank90251,0.9548927831972657
rank90252,0.9545662202086582
rank90253,0.9536944154090375
rank90254,0.9533992530500941
rank90255,0.9442893901651253
rank90256,0.8698462435660894
rank90257,0.8804089263953143
rank90258,0.8814919367489729
rank90259,0.8824578165482965
rank90260,0.8843179906183346
rank90261,0.8890725155961925
rank90262,0.8912888814536695
rank90263,0.8933365091292439
rank90264,0.8947673398941848
rank90265,0.8977628830756387
rank90266,0.9014396300639937
rank90267,0.9032931346598563
rank90268,0.9099264940021825
rank90269,0.9121152216402119
rank90270,0.9132527682277388
rank90271,0.914307559057388
rank90272,0.9185132045233558
rank90273,0.9187760653347203
rank90274,0.9213206566914772
rank90275,0.9229695990949234
rank90276,0.9273549843370412
rank90277,0.929066332127962
rank90278,0.929288283032437
rank90279,0.9302548071090327
rank90280,0.9397335201226955
rank90281,0.9404359280822573
rank90282,0.9403009637221069
rank90283,0.940828916253201
rank90284,0.9471220619559142
rank90285,0.9484839612601053
rank90286,0.9495068906440532
rank90287,0.9505566139412894
rank90288,0.9524686779882822
rank90289,0.9528406272848281
rank90290,0.9532141289249668
rank90291,0.9531178591534178
rank90292,0.9533404341795857
rank90293,0.953962105633939
rank90294,0.9546056112878248
rank90295,0.9552097651844582
rank90296,0.9553017305366005
rank90297,0.9551112018254774
rank90298,0.9548919829575085
rank90299,0.9550450457928543
rank90300,0.9551478648165899
