id,CATEGORY,SENTIMENT,SCORE,ENTROPY
160289,0.55,0.2,0.04,0.21
160290,0.55,0.2,0.05,0.2
160291,0.55,0.2,0.06,0.19
160292,0.55,0.2,0.07,0.18
160293,0.55,0.2,0.08,0.17
160294,0.55,0.2,0.09,0.16
160295,0.55,0.2,0.1,0.15
160296,0.55,0.2,0.11,0.14
160297,0.55,0.2,0.12,0.13
160298,0.55,0.2,0.13,0.12
160299,0.55,0.2,0.14,0.11
160300,0.55,0.2,0.15,0.1
160301,0.55,0.2,0.16,0.09
160302,0.55,0.2,0.17,0.08
160303,0.55,0.2,0.18,0.07
160304,0.55,0.2,0.19,0.06
160305,0.55,0.2,0.2,0.05
160306,0.55,0.2,0.21,0.04
160307,0.55,0.2,0.22,0.03
160308,0.55,0.2,0.23,0.02
160309,0.55,0.2,0.24,0.01
160310,0.55,0.2,0.25,0.0
160311,0.55,0.21,0.0,0.24
160312,0.55,0.21,0.01,0.23
160313,0.55,0.21,0.02,0.22
160314,0.55,0.21,0.03,0.21
160315,0.55,0.21,0.04,0.2
160316,0.55,0.21,0.05,0.19
160317,0.55,0.21,0.06,0.18
160318,0.55,0.21,0.07,0.17
160319,0.55,0.21,0.08,0.16
160320,0.55,0.21,0.09,0.15
160321,0.55,0.21,0.1,0.14
160322,0.55,0.21,0.11,0.13
160323,0.55,0.21,0.12,0.12
160324,0.55,0.21,0.13,0.11
160325,0.55,0.21,0.14,0.1
160326,0.55,0.21,0.15,0.09
160327,0.55,0.21,0.16,0.08
160328,0.55,0.21,0.17,0.07
160329,0.55,0.21,0.18,0.06
160330,0.55,0.21,0.19,0.05
160331,0.55,0.21,0.2,0.04
160332,0.55,0.21,0.21,0.03
160333,0.55,0.21,0.22,0.02
160334,0.55,0.21,0.23,0.01
160335,0.55,0.21,0.24,0.0
160336,0.55,0.22,0.0,0.23
160337,0.55,0.22,0.01,0.22
160338,0.55,0.22,0.02,0.21
160339,0.55,0.22,0.03,0.2
160340,0.55,0.22,0.04,0.19
160341,0.55,0.22,0.05,0.18
160342,0.55,0.22,0.06,0.17
160343,0.55,0.22,0.07,0.16
160344,0.55,0.22,0.08,0.15
160345,0.55,0.22,0.09,0.14
160346,0.55,0.22,0.1,0.13
160347,0.55,0.22,0.11,0.12
160348,0.55,0.22,0.12,0.11
160349,0.55,0.22,0.13,0.1
160350,0.55,0.22,0.14,0.09
160351,0.55,0.22,0.15,0.08
160352,0.55,0.22,0.16,0.07
160353,0.55,0.22,0.17,0.06
160354,0.55,0.22,0.18,0.05
160355,0.55,0.22,0.19,0.04
160356,0.55,0.22,0.2,0.03
160357,0.55,0.22,0.21,0.02
160358,0.55,0.22,0.22,0.01
160359,0.55,0.22,0.23,0.0
160360,0.55,0.23,0.0,0.22
160361,0.55,0.23,0.01,0.21
160362,0.55,0.23,0.02,0.2
160363,0.55,0.23,0.03,0.19
160364,0.55,0.23,0.04,0.18
160365,0.55,0.23,0.05,0.17
160366,0.55,0.23,0.06,0.16
160367,0.55,0.23,0.07,0.15
160368,0.55,0.23,0.08,0.14
160369,0.55,0.23,0.09,0.13
160370,0.55,0.23,0.1,0.12
160371,0.55,0.23,0.11,0.11
160372,0.55,0.23,0.12,0.1
160373,0.55,0.23,0.13,0.09
160374,0.55,0.23,0.14,0.08
160375,0.55,0.23,0.15,0.07
160376,0.55,0.23,0.16,0.06
160377,0.55,0.23,0.17,0.05
160378,0.55,0.23,0.18,0.04
160379,0.55,0.23,0.19,0.03
160380,0.55,0.23,0.2,0.02
160381,0.55,0.23,0.21,0.01
160382,0.55,0.23,0.22,0.0
160383,0.55,0.24,0.0,0.21
160384,0.55,0.24,0.01,0.2
160385,0.55,0.24,0.02,0.19
160386,0.55,0.24,0.03,0.18
160387,0.55,0.24,0.04,0.17
160388,0.55,0.24,0.05,0.16
160389,0.55,0.24,0.06,0.15
160390,0.55,0.24,0.07,0.14
160391,0.55,0.24,0.08,0.13
160392,0.55,0.24,0.09,0.12
160393,0.55,0.24,0.1,0.11
160394,0.55,0.24,0.11,0.1
160395,0.55,0.24,0.12,0.09
160396,0.55,0.24,0.13,0.08
160397,0.55,0.24,0.14,0.07
160398,0.55,0.24,0.15,0.06
160399,0.55,0.24,0.16,0.05
160400,0.55,0.24,0.17,0.04
160401,0.55,0.24,0.18,0.03
160402,0.55,0.24,0.19,0.02
160403,0.55,0.24,0.2,0.01
160404,0.55,0.24,0.21,0.0
160405,0.55,0.25,0.0,0.2
160406,0.55,0.25,0.01,0.19
160407,0.55,0.25,0.02,0.18
160408,0.55,0.25,0.03,0.17
160409,0.55,0.25,0.04,0.16
160410,0.55,0.25,0.05,0.15
160411,0.55,0.25,0.06,0.14
160412,0.55,0.25,0.07,0.13
160413,0.55,0.25,0.08,0.12
160414,0.55,0.25,0.09,0.11
160415,0.55,0.25,0.1,0.1
160416,0.55,0.25,0.11,0.09
160417,0.55,0.25,0.12,0.08
160418,0.55,0.25,0.13,0.07
160419,0.55,0.25,0.14,0.06
160420,0.55,0.25,0.15,0.05
160421,0.55,0.25,0.16,0.04
160422,0.55,0.25,0.17,0.03
160423,0.55,0.25,0.18,0.02
160424,0.55,0.25,0.19,0.01
160425,0.55,0.25,0.2,0.0
160426,0.55,0.26,0.0,0.19
160427,0.55,0.26,0.01,0.18
160428,0.55,0.26,0.02,0.17
160429,0.55,0.26,0.03,0.16
160430,0.55,0.26,0.04,0.15
160431,0.55,0.26,0.05,0.14
160432,0.55,0.26,0.06,0.13
160433,0.55,0.26,0.07,0.12
160434,0.55,0.26,0.08,0.11
160435,0.55,0.26,0.09,0.1
160436,0.55,0.26,0.1,0.09
160437,0.55,0.26,0.11,0.08
160438,0.55,0.26,0.12,0.07
160439,0.55,0.26,0.13,0.06
160440,0.55,0.26,0.14,0.05
160441,0.55,0.26,0.15,0.04
160442,0.55,0.26,0.16,0.03
160443,0.55,0.26,0.17,0.02
160444,0.55,0.26,0.18,0.01
160445,0.55,0.26,0.19,0.0
160446,0.55,0.27,0.0,0.18
160447,0.55,0.27,0.01,0.17
160448,0.55,0.27,0.02,0.16
160449,0.55,0.27,0.03,0.15
160450,0.55,0.27,0.04,0.14
160451,0.55,0.27,0.05,0.13
160452,0.55,0.27,0.06,0.12
160453,0.55,0.27,0.07,0.11
160454,0.55,0.27,0.08,0.1
160455,0.55,0.27,0.09,0.09
160456,0.55,0.27,0.1,0.08
160457,0.55,0.27,0.11,0.07
160458,0.55,0.27,0.12,0.06
160459,0.55,0.27,0.13,0.05
